Time,"Theta - radians (5 m, 20 degrees)","Theta - degrees (5 m, 20 degrees)","Theta - radians (5 m, 15 degrees)","Theta - degrees (5 m, 15 degrees)","Theta - radians (2.5 m, 20 degrees)","Theta - degrees (2.5 m, 20 degrees)","Theta - radians (2.5 m, 15 degrees)","Theta - degrees (2.5 m, 15 degrees)"
1.25,-3.564921113,-0.062219611,-2.673690835,-0.046664708,-15.71709896,-0.274315126,-11.78782422,-0.205736344
1.225,-2.874088278,-0.050162303,-2.155566209,-0.037621728,-15.08590387,-0.263298693,-11.3144279,-0.19747402
1.25,-3.564921113,-0.062219611,-2.673690835,-0.046664708,-15.71709896,-0.274315126,-11.78782422,-0.205736344
1.25,-3.564921113,-0.062219611,-2.673690835,-0.046664708,-15.71709896,-0.274315126,-11.78782422,-0.205736344
1.25,-3.564921113,-0.062219611,-2.673690835,-0.046664708,-15.71709896,-0.274315126,-11.78782422,-0.205736344
1.2625,-3.908752752,-0.068220605,-2.931564564,-0.051165454,-16.01835236,-0.279572989,-12.01376427,-0.209679742
1.26875,-4.080226254,-0.071213382,-3.06016969,-0.053410037,-16.16531133,-0.282137907,-12.1239835,-0.211603431
1.296153846,-4.828209597,-0.084268154,-3.621157197,-0.063201116,-16.78015825,-0.292869011,-12.58511869,-0.219651758
1.3,-4.932646199,-0.086090917,-3.69948465,-0.064568188,-16.86254024,-0.294306847,-12.64690518,-0.220730136
1.275,-4.251387365,-0.074200707,-3.188540524,-0.05565053,-16.30979502,-0.284659623,-12.23234627,-0.213494718
1.3,-4.932646199,-0.086090917,-3.69948465,-0.064568188,-16.86254024,-0.294306847,-12.64690518,-0.220730136
1.3,-4.932646199,-0.086090917,-3.69948465,-0.064568188,-16.86254024,-0.294306847,-12.64690518,-0.220730136
1.3,-4.932646199,-0.086090917,-3.69948465,-0.064568188,-16.86254024,-0.294306847,-12.64690518,-0.220730136
1.3125,-5.27106179,-0.091997383,-3.953296342,-0.068998037,-17.12350426,-0.298861529,-12.8426282,-0.224146147
1.31875,-5.43967071,-0.094940164,-4.079753033,-0.071205123,-17.25006316,-0.301070398,-12.93754737,-0.225802799
1.346153846,-6.173868398,-0.107754331,-4.630401299,-0.080815748,-17.77354496,-0.310206879,-13.33015872,-0.232655159
1.35,-6.276211187,-0.10954055,-4.70715839,-0.082155412,-17.84286354,-0.311416717,-13.38214766,-0.233562538
1.325,-5.607863159,-0.097875676,-4.205897369,-0.073406757,-17.37398067,-0.303233167,-13.0304855,-0.227424875
1.35,-6.276211187,-0.10954055,-4.70715839,-0.082155412,-17.84286354,-0.311416717,-13.38214766,-0.233562538
1.35,-6.276211187,-0.10954055,-4.70715839,-0.082155412,-17.84286354,-0.311416717,-13.38214766,-0.233562538
1.35,-6.276211187,-0.10954055,-4.70715839,-0.082155412,-17.84286354,-0.311416717,-13.38214766,-0.233562538
1.3625,-6.60755317,-0.115323558,-4.955664878,-0.086492669,-18.06098282,-0.315223616,-13.54573712,-0.236417712
1.36875,-6.772471663,-0.118201929,-5.079353747,-0.088651447,-18.16590238,-0.317054808,-13.62442678,-0.237791106
1.396153846,-7.489287595,-0.130712727,-5.616965696,-0.098034545,-18.59289313,-0.324507203,-13.94466985,-0.243380402
1.4,-7.589035296,-0.132453653,-5.691776472,-0.09934024,-18.64846953,-0.325477194,-13.98635215,-0.244107895
1.375,-6.936871642,-0.12107125,-5.202653731,-0.090803437,-18.26804032,-0.318837451,-13.70103024,-0.239128089
1.4,-7.589035296,-0.132453653,-5.691776472,-0.09934024,-18.64846953,-0.325477194,-13.98635215,-0.244107895
1.4,-7.589035296,-0.132453653,-5.691776472,-0.09934024,-18.64846953,-0.325477194,-13.98635215,-0.244107895
1.4,-7.589035296,-0.132453653,-5.691776472,-0.09934024,-18.64846953,-0.325477194,-13.98635215,-0.244107895
